run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff,options
bg405cn7261-whisper-067,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,88.899626,0.0229132569558101,0.0226415094339622,0.0317396212231008,0.9682603787768992,1813,17,22,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-067.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-068,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,88.830279,0.0229132569558101,0.0226415094339622,0.0317396212231008,0.9682603787768992,1813,17,22,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-068.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-075,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,133.422652,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-075.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-076,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,133.387789,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-076.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-079,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,144.430255,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-079.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-080,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,144.447749,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-080.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-083,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,88.68977,0.0229132569558101,0.0226415094339622,0.0317396212231008,0.9682603787768992,1813,17,22,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-083.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-084,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,88.672788,0.0229132569558101,0.0226415094339622,0.0317396212231008,0.9682603787768992,1813,17,22,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-084.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-091,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,133.451335,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-091.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-092,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,133.385364,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-092.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-095,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,144.483108,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-095.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-096,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,144.484143,0.0229132569558101,0.0226904376012965,0.0333978132363093,0.9666021867636908,1809,20,18,4,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-096.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
