file,language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,options
gn213vd3845_ev_1_sl.mp4,es,39.612014,0.23659305993690852,0.23547880690737832,0.2941818939348848,0.7058181060651152,487,40,3,107,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
gn213vd3845_ev_1_sl.mp4,es,39.415046,0.23659305993690852,0.23547880690737832,0.2941818939348848,0.7058181060651152,487,40,3,107,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
gn213vd3845_ev_1_sl.mp4,es,123.038718,0.444794952681388,0.36910994764397903,0.46032159001686457,0.5396784099831354,482,67,130,85,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
gn213vd3845_ev_1_sl.mp4,es,110.071943,0.24921135646687698,0.24307692307692308,0.31698673273025857,0.6830132672697414,492,51,16,91,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
gn213vd3845_ev_1_sl.mp4,es,45.325921,0.15772870662460567,0.15600624024961,0.22151440837105874,0.7784855916289413,541,45,7,48,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
gn213vd3845_ev_1_sl.mp4,es,45.245067,0.15772870662460567,0.15600624024961,0.22151440837105874,0.7784855916289413,541,45,7,48,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
gn213vd3845_ev_1_sl.mp4,es,145.545288,0.25236593059936907,0.22377622377622378,0.3059373591707977,0.6940626408292023,555,64,81,15,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
gn213vd3845_ev_1_sl.mp4,es,179.339635,0.15930599369085174,0.15097159940209268,0.20488958990536288,0.7951104100946371,568,37,35,29,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
gn213vd3845_ev_1_sl.mp4,es,56.7038,0.24132492113564669,0.23981191222570533,0.30128559292329815,0.6987144070767018,485,42,4,107,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
gn213vd3845_ev_1_sl.mp4,es,56.70943,0.24132492113564669,0.23981191222570533,0.30128559292329815,0.6987144070767018,485,42,4,107,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
